Rank,Team,Seed,Conference,Record,NetRating,ORating,ORank,DRating,DRank,Tempo,TempoRank,SeedNum,Region
1,Duke,1,ACC,35-4,39.29,130.1,1,90.8,5,66.0,269,1.0,East
5,Tennessee,2,SEC,30-8,30.93,120.7,17,89.7,3,63.7,349,2.0,East
9,Texas Tech,3,B12,28-9,27.92,125.4,5,97.5,39,66.1,264,3.0,East
10,Maryland,4,B10,27-9,27.07,118.9,23,91.9,7,69.6,66,4.0,East
21,Michigan,5,B10,27-10,23.45,116.5,43,93.1,12,70.1,54,5.0,East
17,Illinois,6,B10,22-13,24.32,121.9,14,97.6,40,71.5,17,6.0,East
20,UCLA,7,B10,23-11,23.46,117.3,37,93.8,14,65.0,312,7.0,East
8,Gonzaga,8,WCC,26-9,28.01,124.7,6,96.7,29,70.5,42,8.0,East
30,Baylor,9,B12,20-15,20.83,121.3,16,100.4,62,64.6,328,9.0,East
36,Arkansas,10,SEC,22-14,19.33,114.4,64,95.1,18,69.4,69,10.0,East
31,North Carolina,11,ACC,23-14,20.33,119.2,21,98.9,47,70.7,34,11.0,East
39,UC San Diego,12,BW,30-5,18.25,115.0,61,96.7,30,65.8,278,12.0,East
74,Yale,13,Ivy,22-8,11.02,115.2,59,104.2,115,67.7,169,13.0,East
89,Lipscomb,14,ASun,25-10,8.55,112.0,88,103.5,101,66.2,253,14.0,East
114,Wofford,15,SC,19-16,4.24,113.9,69,109.7,234,64.3,333,15.0,East
178,Norfolk St.,16,MEAC,24-11,-1.63,107.5,156,109.1,222,66.5,229,16.0,East
4,Auburn,1,SEC,32-6,35.05,127.2,3,92.1,9,68.2,134,1.0,Midwest
14,St. John's,2,BE,31-5,26.06,114.0,68,88.0,2,70.0,58,2.0,Midwest
16,Kentucky,3,SEC,24-12,24.54,123.7,10,99.2,51,70.9,30,3.0,Midwest
18,Texas A&M,4,SEC,23-11,23.66,116.5,42,92.9,10,66.8,215,4.0,Midwest
54,Memphis,5,Amer,29-6,15.1,113.4,73,98.3,43,71.0,27,5.0,Midwest
26,BYU,6,B12,26-10,22.31,124.1,9,101.8,82,67.6,170,6.0,Midwest
29,Marquette,7,BE,23-11,21.01,117.4,35,96.4,26,67.7,166,7.0,Midwest
33,Mississippi St.,8,SEC,21-13,20.02,118.9,24,98.8,46,68.3,127,8.0,Midwest
40,Oklahoma,9,SEC,20-14,17.95,118.2,29,100.3,60,68.8,108,9.0,Midwest
61,Utah St.,10,MWC,26-8,14.0,119.8,20,105.8,150,67.6,172,10.0,Midwest
47,Texas,11,SEC,19-16,16.9,117.3,36,100.4,61,67.6,176,11.0,Midwest
64,Liberty,12,CUSA,28-7,12.46,111.8,90,99.4,54,65.6,285,12.0,Midwest
